ﺍ,ا
ﺎ,ا
ﺏ,ب
ﺐ,ب
ﺑ,ب
ﺒ,ب
ﭖ,پ
ﭗ,پ
ﭘ,پ
ﭙ,پ
ﺓ,ة
ﺔ,ة
ﺕ,ت
ﺖ,ت
ﺗ,ت
ﺘ,ت
ﺙ,ث
ﺚ,ث
ﺛ,ث
ﺜ,ث
ﺝ,ج
ﺞ,ج
ﺟ,ج
ﺠ,ج
ﭺ,چ
ﭻ,چ
ﭼ,چ
ﭽ,چ
ﺡ,ح
ﺢ,ح
ﺣ,ح
ﺤ,ح
ﺥ,خ
ﺦ,خ
ﺧ,خ
ﺨ,خ
ﺩ,د
ﺪ,د
ﺫ,ذ
ﺬ,ذ
ﺭ,ر
ﺮ,ر
ﺯ,ز
ﺰ,ز
ﮊ,ژ
ﮋ,ژ
ﺱ,س
ﺲ,س
ﺳ,س
ﺴ,س
ﺵ,ش
ﺶ,ش
ﺷ,ش
ﺸ,ش
ﺹ,ص
ﺺ,ص
ﺻ,ص
ﺼ,ص
ﺽ,ض
ﺾ,ض
ﺿ,ض
ﻀ,ض
ﻁ,ط
ﻂ,ط
ﻃ,ط
ﻄ,ط
ﻅ,ظ
ﻆ,ظ
ﻇ,ظ
ﻈ,ظ
ﻉ,ع
ﻋ,ع
ﻌ,ع
ﻊ,ع
ﻍ,غ
ﻎ,غ
ﻏ,غ
ﻐ,غ
ﻑ,ف
ﻒ,ف
ﻓ,ف
ﻔ,ف
ﻕ,ق
ﻖ,ق
ﻗ,ق
ﻘ,ق
ﻙ,ک
ﻚ,ک
ﻛ,ک
ﻜ,ک
ﮎ,ک
ك,ک
ﮏ,ک
ﮐ,ک
ﮑ,ک
ﮒ,گ
ﮓ,گ
ﮔ,گ
ﮕ,گ
ﻝ,ل
ﻞ,ل
ﻟ,ل
ﻠ,ل
ﻡ,م
ﻢ,م
ﻣ,م
ﻤ,م
ﻥ,ن
ﻦ,ن
ﻧ,ن
ﻨ,ن
ﻭ,و
ﻮ,و
ﻫ,ه
ﻬ,ه
ﻩ,ه
ﻪ,ه
ﮪ,ه
ﮫ,ه
ﮬ,ه
ﮭ,ه
ﮤ,ه
ﮥ,ه
ﻯ,ی
ﻰ,ی
ﻱ,ی
ﻲ,ی
ﻳ,ی
ﻴ,ی
ي,ی
ﯼ,ی
ﯽ,ی
ﯾ,ی
ﯿ,ی
ﺀ,ء
ﺁ,آ
ﺂ,آ
ﺃ,ا
ﺄ,ا
ﺅ,و
ﺆ,و
ﺇ,ا
ﺈ,ا
ﺉ,ئ
ﺊ,ئ
ﺋ,ئ
ﺌ,ئ
ﻶ,لآ
ﻷ,لا
ﻸ,لا
ﻹ,لا
ﻺ,لا
ﻻ,لا
ﻼ,لا
